Mode,Prediction Horizon,Patient,Approach,RMSE
reoptimize,6,001,Glucose+Insulin,8.466011534279414
reoptimize,6,001,LastMeal,8.973289519281767
reoptimize,6,001,Bezier,8.235339343155948
reoptimize,6,001,Glucose+Insulin,4.277195733644642
reoptimize,6,001,LastMeal,5.27661938981324
reoptimize,6,001,Bezier,5.224297717422003
reoptimize,6,001,Glucose+Insulin,6.555327256173833
reoptimize,6,001,LastMeal,7.309616775432114
reoptimize,6,001,Bezier,6.236027122495904
reoptimize,6,001,Glucose+Insulin,7.918010835389881
reoptimize,6,001,LastMeal,7.993121652899829
reoptimize,6,001,Bezier,7.43296104954243
reoptimize,6,001,Glucose+Insulin,8.666530472796744
reoptimize,6,001,LastMeal,9.380321628764309
reoptimize,6,001,Bezier,8.983067562386365
reoptimize,6,001,Glucose+Insulin,7.5913217073745685
reoptimize,6,001,LastMeal,9.016447652678918
reoptimize,6,001,Bezier,6.832780166823613
reoptimize,6,001,Glucose+Insulin,19.887382794182376
reoptimize,6,001,LastMeal,20.126283696382806
reoptimize,6,001,Bezier,18.196935814499398
reoptimize,6,001,Glucose+Insulin,22.014393645969594
reoptimize,6,001,LastMeal,20.25714842105811
reoptimize,6,001,Bezier,19.370495599288166
reoptimize,6,001,Glucose+Insulin,9.909774877122773
reoptimize,6,001,LastMeal,11.914076334141678
reoptimize,6,001,Bezier,11.926429789082892
reoptimize,6,001,Glucose+Insulin,10.025607032676998
reoptimize,6,001,LastMeal,10.936240630954577
reoptimize,6,001,Bezier,10.093682725418406
reoptimize,6,001,Glucose+Insulin,25.085942996000796
reoptimize,6,001,LastMeal,29.095636678869184
reoptimize,6,001,Bezier,32.5492659516779
reoptimize,6,001,Glucose+Insulin,12.687606495350996
reoptimize,6,001,LastMeal,9.865083705787152
reoptimize,6,001,Bezier,12.988111045148909
reoptimize,6,001,Glucose+Insulin,22.015000704959153
reoptimize,6,001,LastMeal,18.191298793959668
reoptimize,6,001,Bezier,21.668169206921636
reoptimize,6,001,Glucose+Insulin,16.99779284251011
reoptimize,6,001,LastMeal,18.02980190175873
reoptimize,6,001,Bezier,15.527426226490359
reoptimize,6,001,Glucose+Insulin,10.17979940033762
reoptimize,6,001,LastMeal,9.448191614461187
reoptimize,6,001,Bezier,10.889620458200689
reoptimize,6,001,Glucose+Insulin,10.2833175515461
reoptimize,6,001,LastMeal,9.53402932928451
reoptimize,6,001,Bezier,8.295779257145622
reoptimize,6,001,Glucose+Insulin,15.993974734997916
reoptimize,6,001,LastMeal,14.302830198080693
reoptimize,6,001,Bezier,12.163886373168152
reoptimize,6,001,Glucose+Insulin,9.874836046754881
reoptimize,6,001,LastMeal,9.214503121978519
reoptimize,6,001,Bezier,7.974768968353622
reoptimize,6,001,Glucose+Insulin,22.97158067398863
reoptimize,6,001,LastMeal,22.186973186599197
reoptimize,6,001,Bezier,24.528792031780874
reoptimize,6,001,Glucose+Insulin,70.74321560787881
reoptimize,6,001,LastMeal,66.80285910061174
reoptimize,6,001,Bezier,68.88462287929227
reoptimize,6,001,Glucose+Insulin,24.100242483113938
reoptimize,6,001,LastMeal,27.024123282309404
reoptimize,6,001,Bezier,29.86698538557909
reoptimize,6,001,Glucose+Insulin,22.2990179360531
reoptimize,6,001,LastMeal,21.84722587211911
reoptimize,6,001,Bezier,11.580089373949654
reoptimize,6,001,Glucose+Insulin,14.937291542114483
reoptimize,6,001,LastMeal,16.383555391507336
reoptimize,6,001,Bezier,12.737079491100587
reoptimize,6,001,Glucose+Insulin,25.92838266796644
reoptimize,6,001,LastMeal,32.51083961321524
reoptimize,6,001,Bezier,22.292253796742045
reoptimize,6,001,Glucose+Insulin,7.384842314564832
reoptimize,6,001,LastMeal,6.767178195129653
reoptimize,6,001,Bezier,6.010090617649179
reoptimize,6,001,Glucose+Insulin,3.477871414284011
reoptimize,6,001,LastMeal,3.6304800906397228
reoptimize,6,001,Bezier,3.222503478885271
reoptimize,6,001,Glucose+Insulin,2.5360475368188813
reoptimize,6,001,LastMeal,2.9061725583727505
reoptimize,6,001,Bezier,3.3527239279390253
reoptimize,6,001,Glucose+Insulin,4.3417744103216895
reoptimize,6,001,LastMeal,5.132261046659143
reoptimize,6,001,Bezier,5.0188042289454255
reoptimize,6,001,Glucose+Insulin,5.390871219808202
reoptimize,6,001,LastMeal,4.215519420363657
reoptimize,6,001,Bezier,5.1836822650032115
reoptimize,6,001,Glucose+Insulin,4.247679495695401
reoptimize,6,001,LastMeal,4.383853791123343
reoptimize,6,001,Bezier,3.8857449047875297
reoptimize,6,001,Glucose+Insulin,19.29134405606497
reoptimize,6,001,LastMeal,19.42931775422804
reoptimize,6,001,Bezier,13.118357006037817
reoptimize,6,001,Glucose+Insulin,37.88584103245786
reoptimize,6,001,LastMeal,32.8395416554578
reoptimize,6,001,Bezier,31.686800588578606
